userId,itemId,timestamp,relevant,user_idx,item_idx
A16C9QBZHS9UDO,B000VRQQRS,2010-07-22,1,16470,1816
A16C9QBZHS9UDO,B000VRQQRS,2010-07-22,1,16470,1816
A16C9QBZHS9UDO,B001K69F9U,2011-06-04,1,16470,787
A16C9QBZHS9UDO,B001QTSLL4,2011-06-04,1,16470,6960
A175TPTHMNS7S4,B000W18GBW,2004-06-30,1,16471,253
A175TPTHMNS7S4,B000W18GBW,2004-06-30,1,16471,253
A175TPTHMNS7S4,B00Q6S8FKC,2006-06-16,1,16471,10564
A175TPTHMNS7S4,B01DEH3RTQ,2008-11-14,1,16471,7763
A17IFEOIVJJGHO,B002IEW504,2013-05-08,1,16472,265
A17IFEOIVJJGHO,B006L5O9GY,2013-05-08,1,16472,749
A17IFEOIVJJGHO,B007Y1ANKK,2013-05-08,1,16472,746
A1A7XZ82HWIPT4,B000TEAYVW,2013-08-30,1,16473,4997
A1A7XZ82HWIPT4,B0013EZ1PQ,2013-08-30,1,16473,6625
A1A7XZ82HWIPT4,B0013EZ1PQ,2013-08-30,1,16473,6625
A1A7XZ82HWIPT4,B00137G9KY,2016-07-17,1,16473,3628
A1ANRKHR4QWXJU,B001UI9KXE,2009-03-24,1,16474,5610
A1ANRKHR4QWXJU,B000W1UOTY,2010-07-17,1,16474,11573
A1ANRKHR4QWXJU,B000W1UOTY,2010-07-17,1,16474,11573
A1BLT7XVO4JLW5,B00137MN9U,2013-02-08,1,16475,6942
A1BLT7XVO4JLW5,B00137WV4C,2013-02-08,1,16475,4677
A1BLT7XVO4JLW5,B00137MN9U,2013-02-08,1,16475,6942
A1BLT7XVO4JLW5,B00137WV4C,2013-02-08,1,16475,4677
A1BYA1IVKO7U79,B0070R90ZC,2015-03-16,1,16476,3064
A1BYA1IVKO7U79,B0012DJSZC,2015-04-14,1,16476,5266
A1BYA1IVKO7U79,B0012DJSZC,2015-04-14,1,16476,5266
A1BYA1IVKO7U79,B001NYVYAW,2015-05-02,1,16476,3497
A1CBNXMVQUZ4D5,B003RFUULO,2013-10-24,1,16477,7752
A1CBNXMVQUZ4D5,B004EF3GOY,2013-11-05,1,16477,9283
A1CBNXMVQUZ4D5,B00BYQEGG8,2013-11-05,1,16477,2449
A1CBNXMVQUZ4D5,B006MT8U28,2014-01-31,1,16477,10214
A1D7V8B3XID75M,B005OC6A9Y,2013-01-28,1,16478,18
A1D7V8B3XID75M,B005A1ER0I,2013-02-03,1,16478,19
A1D7V8B3XID75M,B00MXBIPQK,2015-06-16,1,16478,9617
A1HP007AUAZEWI,B0013DCCS6,2001-09-21,1,16479,3345
